Thresh_Index,Overall,Precision,Recall,TNR
EXG_Local,0.5236111111111111,0.3306188925081433,0.4246861924686193,0.5727650727650727
EXGR_Local,0.44583333333333336,0.300498753117207,0.50418410041841,0.41683991683991684
GLI_Local,0.4701388888888889,0.3341094295692666,0.600418410041841,0.40540540540540543
VARI_Local,0.4986111111111111,0.38640595903165736,0.8682008368200836,0.31496881496881496
EXG_Global,0.8111111111111111,0.8301282051282052,0.5418410041841004,0.9449064449064449
EXGR_Global,0.8375,0.8297297297297297,0.6422594142259415,0.9345114345114345
GLI_Global,0.8409722222222222,0.7971360381861575,0.698744769874477,0.9116424116424117
VARI_Global,0.5638888888888889,0.43106617647058826,0.9811715481171548,0.35654885654885654
EXG_Zero,0.5548611111111111,0.4265103697024346,0.9895397489539749,0.3388773388773389
EXGR_Zero,0.8625,0.7405498281786942,0.9016736401673641,0.843035343035343
GLI_Zero,0.5548611111111111,0.4265103697024346,0.9895397489539749,0.3388773388773389
VARI_Zero,0.79375,0.6248275862068966,0.9476987447698745,0.7172557172557172
Mode,0.7534722222222222,0.5845942228335625,0.8891213389121339,0.6860706860706861
Zero_Mode,0.7923611111111111,0.6231086657496562,0.9476987447698745,0.7151767151767152
Global_Zero_Mode,0.8625,0.7405498281786942,0.9016736401673641,0.843035343035343
