Correlation,R_Squared,RMSE
Biomass_VF,0.5686716848672643,11.387809049030487
Nitrogen_Green,0.5726237550194756,1.4845253378491263
Nitrogen_EXG,0.5726237550194779,0.8570911034260127
Nitrogen_EXGR,0.5538987251846497,0.6808871605854991
Nitrogen_GLI,0.5883293820573272,1.107734014685963
Nitrogen_VARI,0.46725884522805816,1.0188471770327243
CN_Green,0.5959768196318435,2.8742436460834884
CN_EXG,0.5959768196318459,1.6594453427828721
CN_EXGR,0.5736665771211373,1.3218772047376037
CN_GLI,0.6112663379823668,2.1441148789747215
CN_VARI,0.47639972131639463,1.991897292183416
