Unnamed: 0,Y,X,Reference,Predicted_EXG_L,Predicted_EXGR_L,Predicted_GLI_L,Predicted_VARI_L,Predicted_EXG_G,Predicted_EXGR_G,Predicted_GLI_G,Predicted_VARI_G,Predicted_EXG_Z,Predicted_EXGR_Z,Predicted_GLI_Z,Predicted_VARI_Z,EXG_Value,EXGR_Value,GLI_Value,VARI_Value,Red_Value,Green_Value,Blue_Value
0,27,607,0,0,1,1,0,0,0,0,0,1,0,1,0,0.024390243902439074,-0.2658536585365854,0.01818181818181818,-0.1875,0.45121951219512196,0.34146341463414637,0.2073170731707317
1,1227,375,0,0,1,1,0,0,0,0,0,0,0,0,0,-0.1103448275862069,-0.3834482758620688,-0.0851063829787234,-0.2711864406779661,0.4068965517241379,0.296551724137931,0.296551724137931
2,922,116,0,0,1,1,0,0,0,0,0,0,0,0,0,-0.02139037433155072,-0.3090909090909088,-0.016129032258064516,-0.21212121212121213,0.4385026737967914,0.32620320855614976,0.23529411764705882
3,1202,1228,0,0,1,1,1,0,0,0,1,1,0,1,1,0.03875968992248058,-0.09250645994832035,0.028790786948176585,0.013793103448275862,0.34108527131782945,0.3462532299741602,0.31266149870801035
4,1147,1190,0,0,1,1,0,0,0,0,0,0,0,0,0,-0.1215469613259669,-0.501657458563536,-0.09401709401709402,-0.3434343434343434,0.48066298342541436,0.292817679558011,0.2265193370165746
5,634,454,0,0,1,1,1,0,0,0,1,1,0,1,1,0.005434782608695676,-0.12355072463768119,0.004070556309362279,0.010869565217391304,0.33152173913043476,0.3351449275362319,0.3333333333333333
6,211,1172,0,0,1,1,1,0,0,0,1,1,0,1,0,0.02068965517241378,-0.13793103448275862,0.015437392795883362,-0.04093567251461988,0.3563218390804598,0.34022988505747126,0.30344827586206896
7,576,1111,0,0,1,1,1,0,0,0,0,1,0,1,0,0.04296875,-0.15625,0.03188405797101449,-0.09016393442622951,0.390625,0.34765625,0.26171875
8,554,931,1,0,1,1,1,0,0,0,1,1,0,1,0,0.016793893129770976,-0.15511450381679392,0.012542759407069556,-0.06367041198501873,0.3648854961832061,0.33893129770992364,0.2961832061068702
9,327,666,0,0,1,1,1,0,0,0,1,1,0,1,0,0.009478672985781922,-0.16824644549763046,0.0070921985815602835,-0.0755813953488372,0.36729857819905215,0.33649289099526064,0.2962085308056872
10,894,999,1,1,1,1,1,0,0,1,1,1,1,1,1,0.25602409638554213,0.16024096385542175,0.18046709129511676,0.08947368421052632,0.3674698795180723,0.4186746987951807,0.21385542168674698
