Unnamed: 0,Y,X,Reference,Predicted_EXG_L,Predicted_EXGR_L,Predicted_GLI_L,Predicted_VARI_L,Predicted_EXG_G,Predicted_EXGR_G,Predicted_GLI_G,Predicted_VARI_G,Predicted_EXG_Z,Predicted_EXGR_Z,Predicted_GLI_Z,Predicted_VARI_Z,EXG_Value,EXGR_Value,GLI_Value,VARI_Value,Red_Value,Green_Value,Blue_Value
0,320,457,0,1,1,1,1,0,0,0,0,0,0,0,0,-0.04753820033955858,-0.23395585738539898,-0.03608247422680412,-0.11961722488038277,0.3599320882852292,0.3174872665534805,0.3225806451612903
1,1269,927,0,1,1,1,1,0,0,0,0,0,0,0,0,-0.053030303030303094,-0.26767676767676774,-0.04030710172744722,-0.16233766233766234,0.3787878787878788,0.31565656565656564,0.3055555555555556
2,66,279,0,1,1,1,0,0,0,0,0,0,0,0,0,-0.16857142857142854,-0.4914285714285713,-0.1319910514541387,-0.3680555555555556,0.42857142857142855,0.27714285714285714,0.29428571428571426
3,386,667,0,1,1,1,1,0,0,0,0,0,0,0,0,-0.030195381882770878,-0.26394316163410303,-0.022818791946308724,-0.1686746987951807,0.3978685612788632,0.32326820603907636,0.27886323268206037
4,820,1119,0,1,1,1,1,0,0,0,0,0,0,0,0,-0.06804733727810652,-0.2710059171597633,-0.05191873589164785,-0.15833333333333333,0.3668639053254438,0.3106508875739645,0.3224852071005917
5,1236,335,0,0,0,1,0,0,0,0,0,0,0,0,0,-0.37623762376237624,-0.9584158415841583,-0.3114754098360656,-0.6545454545454545,0.5643564356435643,0.2079207920792079,0.22772277227722773
6,69,695,0,1,1,1,1,0,0,0,1,0,0,0,0,-0.040520984081042044,-0.19073806078147626,-0.03070175438596491,-0.05116279069767442,0.3357452966714906,0.31982633863965265,0.34442836468885674
7,774,270,0,1,1,1,0,0,0,0,0,0,0,0,0,-0.1639344262295082,-0.4991803278688525,-0.1282051282051282,-0.36792452830188677,0.4385245901639344,0.2786885245901639,0.2827868852459016
8,302,462,0,1,1,1,1,0,0,0,1,0,0,0,0,-0.004065040650406526,-0.14065040650406507,-0.003051881993896236,-0.008130081300813009,0.3346883468834688,0.3319783197831978,0.3333333333333333
9,1008,797,0,1,1,1,1,0,0,0,0,0,0,0,0,-0.10377358490566041,-0.3509433962264152,-0.07990314769975787,-0.24166666666666667,0.389937106918239,0.29874213836477986,0.3113207547169811
10,972,321,0,1,1,1,1,0,0,0,0,0,0,0,0,-0.06353591160221,-0.2618784530386742,-0.04842105263157895,-0.1484375,0.36464088397790057,0.31215469613259667,0.32320441988950277
11,432,957,0,1,1,1,1,0,0,0,1,0,0,0,1,-0.029411764705882304,-0.09705882352941159,-0.022222222222222223,0.21428571428571427,0.27941176470588236,0.3235294117647059,0.39705882352941174
12,136,133,0,1,1,1,1,0,0,0,0,0,0,0,0,-0.10526315789473689,-0.3514619883040937,-0.08108108108108109,-0.2421875,0.3888888888888889,0.2982456140350877,0.3128654970760234
13,738,787,0,1,1,1,1,0,0,0,0,0,0,0,0,-0.06504065040650414,-0.27317073170731726,-0.049586776859504134,-0.16296296296296298,0.3712737127371274,0.3116531165311653,0.3170731707317073
14,135,1270,0,1,1,1,1,0,0,0,1,0,0,0,0,-0.0025188916876575096,-0.1848866498740555,-0.001890359168241966,-0.0880503144654088,0.3677581863979849,0.33249370277078083,0.29974811083123426
15,1246,1000,0,1,1,1,1,0,0,0,0,0,0,0,0,-0.05327868852459011,-0.2942622950819671,-0.040498442367601244,-0.19230769230769232,0.3975409836065574,0.3155737704918033,0.28688524590163933
16,1109,699,0,1,1,1,0,0,0,0,0,0,0,0,0,-0.23809523809523814,-0.48412698412698413,-0.189873417721519,-0.4642857142857143,0.35714285714285715,0.25396825396825395,0.3888888888888889
17,284,1123,1,1,1,1,1,0,0,0,0,0,0,0,0,-0.02890173410404623,-0.2838150289017341,-0.021834061135371178,-0.18902439024390244,0.41329479768786126,0.3236994219653179,0.2630057803468208
18,906,662,0,1,1,1,1,0,0,0,1,0,0,0,0,-0.0222222222222222,-0.16711111111111104,-0.01675977653631285,-0.0319634703196347,0.3362962962962963,0.32592592592592595,0.3377777777777778
19,403,250,0,1,1,1,0,0,0,0,0,0,0,0,0,-0.1631578947368421,-0.6210526315789473,-0.12757201646090535,-0.4051724137931034,0.5263157894736842,0.2789473684210526,0.19473684210526315
20,10,355,0,1,1,1,1,0,0,0,1,0,0,0,0,-0.012195121951219468,-0.16666666666666663,-0.009174311926605505,-0.046511627906976744,0.34552845528455284,0.32926829268292684,0.3252032520325203
21,979,745,0,1,1,1,1,0,0,0,0,0,0,0,0,-0.06818181818181818,-0.24545454545454543,-0.05202312138728324,-0.11904761904761904,0.3484848484848485,0.3106060606060606,0.3409090909090909
22,394,791,0,1,1,1,1,0,0,0,1,0,0,0,0,0.0,-0.17090395480225978,0.0,-0.06934306569343066,0.3601694915254237,0.3333333333333333,0.3064971751412429
23,1074,1252,0,1,1,1,1,0,0,0,0,0,0,0,0,-0.032835820895522394,-0.22029850746268653,-0.024830699774266364,-0.112,0.3641791044776119,0.32238805970149254,0.31343283582089554
24,1167,273,0,1,1,1,1,0,0,0,0,1,0,1,0,0.02477876106194693,-0.17132743362831848,0.018469656992084433,-0.09411764705882353,0.384070796460177,0.3415929203539823,0.2743362831858407
25,710,670,0,1,1,1,0,0,0,0,0,0,0,0,0,-0.18316831683168314,-0.6178217821782177,-0.14396887159533073,-0.41964285714285715,0.504950495049505,0.2722772277227723,0.22277227722772278
26,916,132,1,1,1,1,1,0,0,0,1,1,1,1,1,0.1211498973305955,0.10390143737166346,0.08819133034379671,0.3087248322147651,0.2792607802874743,0.3737166324435318,0.3470225872689938
27,547,524,0,1,1,1,0,0,0,0,0,0,0,0,0,-0.20143884892086328,-0.5194244604316545,-0.1590909090909091,-0.4117647058823529,0.4172661870503597,0.26618705035971224,0.31654676258992803
28,657,390,0,1,1,1,1,0,0,0,0,0,0,0,0,-0.09569377990430616,-0.3167464114832535,-0.07352941176470588,-0.2054794520547945,0.37320574162679426,0.3014354066985646,0.3253588516746411
29,596,1203,0,1,1,1,1,0,0,0,0,0,0,0,0,-0.10554089709762537,-0.36886543535620053,-0.08130081300813008,-0.2582781456953642,0.40105540897097625,0.29815303430079154,0.3007915567282322
