Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Y,X,Reference,Predicted_EXG_L,Predicted_EXGR_L,Predicted_GLI_L,Predicted_VARI_L,Predicted_EXG_G,Predicted_EXGR_G,Predicted_GLI_G,Predicted_VARI_G,Predicted_EXG_Z,Predicted_EXGR_Z,Predicted_GLI_Z,Predicted_VARI_Z,Predicted_ALL_MODE,Predicted_ZERO_MODE,EXG_Value,EXGR_Value,GLI_Value,VARI_Value,Red_Value,Green_Value,Blue_Value,Predicted_GLOBAL_ZERO_MODE
0,0,0,675,491,1,1,1,1,0,0,0,1,1,1,1,1,0,1,1,0.2517985611510792,0.01438848920863317,0.17766497461928935,-0.06542056074766354,0.4676258992805755,0.4172661870503597,0.11510791366906475,1
1,1,1,650,156,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0.019138755980861233,-0.19712918660287065,0.014285714285714285,-0.12121212121212122,0.39712918660287083,0.3397129186602871,0.2631578947368421,0
2,2,2,350,72,0,0,1,0,1,0,0,0,1,1,0,1,1,0,1,0.04651162790697677,-0.08325581395348824,0.034482758620689655,0.018292682926829267,0.34186046511627904,0.3488372093023256,0.30930232558139537,0
3,3,3,225,614,0,0,1,0,1,0,0,0,1,1,0,1,0,0,0,0.05071315372424717,-0.11822503961965142,0.03755868544600939,-0.04659498207885305,0.37083993660855785,0.3502377179080824,0.27892234548335976,0
4,4,4,1230,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.8421052631578947,-2.1157894736842104,-0.8,-0.8947368421052632,0.9473684210526315,0.05263157894736842,0.0,0
5,5,5,546,1131,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,0.21108179419525058,0.17150395778364097,0.15037593984962405,0.19760479041916168,0.316622691292876,0.40369393139841686,0.2796833773087071,1
6,6,6,1217,591,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0.12173913043478266,-0.08057971014492746,0.08860759493670886,-0.06598984771573604,0.4115942028985507,0.3739130434782609,0.2144927536231884,0
7,7,7,128,919,0,1,1,1,0,0,0,1,1,1,1,1,0,1,1,0.2611464968152867,0.021656050955414202,0.18385650224215247,-0.06504065040650407,0.4713375796178344,0.42038216560509556,0.10828025477707007,1
8,8,8,255,214,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0.01661129568106312,-0.16777408637873753,0.01240694789081886,-0.08203125,0.37375415282392027,0.3388704318936877,0.287375415282392,0
9,9,9,974,1212,0,0,1,0,1,0,0,0,1,1,0,1,0,0,0,0.0615384615384616,-0.10584615384615381,0.045454545454545456,-0.04081632653061224,0.3723076923076923,0.35384615384615387,0.27384615384615385,0
10,10,10,2,101,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0.10560344827586202,-0.08405172413793097,0.07716535433070866,-0.056451612903225805,0.39870689655172414,0.36853448275862066,0.23275862068965517,0
11,11,11,1181,800,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0.27918781725888325,0.23654822335025388,0.19572953736654805,0.17475728155339806,0.3350253807106599,0.4263959390862944,0.23857868020304568,1
12,12,12,844,778,0,0,1,0,1,0,0,0,1,1,0,1,0,0,0,0.044230769230769185,-0.1057692307692309,0.03281027104136947,-0.018867924528301886,0.3557692307692308,0.34807692307692306,0.29615384615384616,0
13,13,13,367,1036,0,0,1,0,1,0,0,0,1,1,0,1,0,0,0,0.11010830324909743,-0.06317689530685922,0.08036890645586298,-0.03496503496503497,0.388086642599278,0.3700361010830325,0.24187725631768953,0
14,14,14,285,1180,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0.23717948717948711,0.17393162393162398,0.16792738275340394,0.1440677966101695,0.33974358974358976,0.41239316239316237,0.24786324786324787,1
15,15,15,143,967,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0.06882591093117402,-0.13036437246963573,0.050746268656716415,-0.08,0.3967611336032389,0.3562753036437247,0.24696356275303644,0
16,16,16,369,626,0,0,1,0,1,0,0,0,1,1,0,1,0,0,0,0.08904109589041098,-0.08173515981735147,0.06532663316582915,-0.037383177570093455,0.3812785388127854,0.363013698630137,0.2557077625570776,0
17,17,17,810,858,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0.03401360544217685,-0.16734693877551016,0.025295109612141653,-0.0966183574879227,0.3900226757369615,0.34467120181405897,0.2653061224489796,0
18,18,18,224,760,0,1,1,1,1,0,0,0,1,1,1,1,1,1,1,0.16842105263157892,0.027368421052631653,0.12121212121212122,0.0196078431372549,0.37894736842105264,0.3894736842105263,0.23157894736842105,1
19,19,19,591,982,0,1,1,1,1,0,0,0,1,1,1,1,1,1,1,0.17777777777777776,0.07950617283950617,0.1276595744680851,0.08629441624365482,0.3506172839506173,0.3925925925925926,0.25679012345679014,1
20,20,20,51,491,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-0.03225806451612903,-0.6129032258064515,-0.024390243902439025,-0.3448275862068966,0.6451612903225806,0.3225806451612903,0.03225806451612903,0
21,21,21,1283,824,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0.04316546762589929,-0.1462829736211031,0.03202846975088968,-0.07772020725388601,0.38369304556354916,0.34772182254196643,0.2685851318944844,0
