Unnamed: 0,Y,X,Reference,Predicted_EXG_L,Predicted_EXGR_L,Predicted_GLI_L,Predicted_VARI_L,Predicted_EXG_G,Predicted_EXGR_G,Predicted_GLI_G,Predicted_VARI_G,Predicted_EXG_Z,Predicted_EXGR_Z,Predicted_GLI_Z,Predicted_VARI_Z,EXG_Value,EXGR_Value,GLI_Value,VARI_Value,Red_Value,Green_Value,Blue_Value
0,889,1057,1,1,1,1,1,1,1,1,1,1,1,1,1,0.7007874015748032,0.8818897637795275,0.4472361809045226,0.42528735632183906,0.2755905511811024,0.5669291338582677,0.15748031496062992
1,520,674,0,0,0,0,1,0,0,0,1,1,0,1,0,0.005154639175257714,-0.1697594501718212,0.003861003861003861,-0.07327586206896551,0.3642611683848797,0.33505154639175255,0.3006872852233677
2,548,670,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.04395604395604402,-0.30989010989010995,-0.03333333333333333,-0.20930232558139536,0.4175824175824176,0.31868131868131866,0.26373626373626374
3,483,1277,0,1,1,1,1,0,1,1,1,1,1,1,1,0.30612244897959173,0.22721088435374137,0.2132701421800948,0.11235955056179775,0.3673469387755102,0.43537414965986393,0.19727891156462585
4,1001,157,0,0,0,0,1,0,0,0,1,1,0,1,1,0.01834862385321101,-0.09431192660550447,0.0136986301369863,0.05084745762711865,0.3229357798165138,0.3394495412844037,0.3376146788990826
5,987,196,0,0,0,0,1,0,0,0,1,1,0,1,1,0.0243902439024391,-0.10731707317073164,0.01818181818181818,0.009708737864077669,0.33797909407665505,0.34146341463414637,0.3205574912891986
6,524,1195,0,0,0,0,1,0,0,0,1,1,0,1,0,0.02985074626865669,-0.11791044776119397,0.022222222222222223,-0.019230769230769232,0.35074626865671643,0.34328358208955223,0.30597014925373134
7,1223,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,-0.3853333333333333,0.0,-0.25961538461538464,0.5133333333333333,0.3333333333333333,0.15333333333333332
8,822,379,0,0,0,0,1,0,0,0,1,1,0,1,0,0.05569620253164553,-0.11696202531645583,0.04119850187265917,-0.05027932960893855,0.37468354430379747,0.3518987341772152,0.27341772151898736
9,844,5,0,0,0,0,1,0,0,0,1,1,0,1,1,0.08176100628930821,-0.05660377358490559,0.060092449922958396,0.00966183574879227,0.35639412997903563,0.36058700209643607,0.2830188679245283
10,194,1114,0,1,1,1,1,1,1,1,1,1,1,1,0,0.5,0.30000000000000004,0.3333333333333333,0.0,0.5,0.5,0.0
11,525,320,1,1,1,1,1,1,1,1,1,1,1,1,1,1.212121212121212,1.5818181818181816,0.6976744186046512,0.47474747474747475,0.26262626262626265,0.7373737373737373,0.0
12,1192,322,1,1,1,1,1,0,1,1,1,1,1,1,1,0.25342465753424653,0.20776255707762553,0.178743961352657,0.1743119266055046,0.3310502283105023,0.4178082191780822,0.2511415525114155
13,641,223,0,0,0,0,1,0,0,0,1,1,0,1,0,0.003597122302158251,-0.15539568345323734,0.0026954177897574125,-0.04807692307692308,0.35251798561151076,0.3345323741007194,0.3129496402877698
14,146,229,0,0,0,0,1,0,0,0,1,0,0,0,0,-0.006655574043261281,-0.16938435940099833,-0.005,-0.058823529411764705,0.3527454242928453,0.33111480865224624,0.3161397670549085
15,1053,1132,0,0,0,0,1,0,0,0,1,1,0,1,0,0.0026109660574412663,-0.15665796344647498,0.0019569471624266144,-0.04895104895104895,0.3524804177545692,0.3342036553524804,0.3133159268929504
16,63,134,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.02479338842975204,-0.24352617079889793,-0.018711018711018712,-0.14838709677419354,0.3884297520661157,0.325068870523416,0.2865013774104683
17,206,73,0,0,0,0,0,0,0,0,0,1,0,1,0,0.013513513513513542,-0.19256756756756738,0.010101010101010102,-0.11194029850746269,0.3885135135135135,0.33783783783783783,0.27364864864864863
18,1094,667,0,0,0,0,1,0,0,0,1,1,0,1,0,0.030395136778115506,-0.13252279635258368,0.02262443438914027,-0.044444444444444446,0.3617021276595745,0.3434650455927052,0.2948328267477204
19,800,490,0,0,0,0,1,0,0,0,1,1,0,1,1,0.03526448362720397,-0.092191435768262,0.026217228464419477,0.020689655172413793,0.33753148614609574,0.345088161209068,0.31738035264483627
20,73,284,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.10169491525423727,-0.4824858757062147,-0.0782608695652174,-0.32673267326732675,0.4858757062146893,0.2994350282485876,0.21468926553672316
21,73,42,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.09405940594059409,-0.3534653465346535,-0.07224334600760456,-0.24390243902439024,0.400990099009901,0.30198019801980197,0.297029702970297
22,730,660,0,0,0,0,1,0,0,0,1,0,0,0,0,-0.02925989672977619,-0.19724612736660913,-0.022106631989596878,-0.07881773399014778,0.35111876075731496,0.32358003442340794,0.3253012048192771
23,687,1162,0,0,0,0,1,0,0,0,1,1,1,1,1,0.13278008298755184,0.05145228215767633,0.0963855421686747,0.12121212121212122,0.3278008298755187,0.3775933609958506,0.2946058091286307
24,1023,1130,0,0,0,0,1,0,0,0,1,1,0,1,1,0.018018018018018,-0.11351351351351358,0.013452914798206279,0.008547008547008548,0.33633633633633636,0.33933933933933935,0.32432432432432434
25,1234,1100,0,0,0,0,1,0,0,0,1,1,0,1,1,0.07692307692307693,-0.05868945868945874,0.05660377358490566,0.013422818791946308,0.35327635327635326,0.358974358974359,0.28774928774928776
26,419,1049,0,0,0,0,1,0,0,0,1,1,0,1,0,0.07142857142857145,-0.0714285714285714,0.05263157894736842,0.0,0.35714285714285715,0.35714285714285715,0.2857142857142857
27,168,354,0,0,0,0,1,0,0,0,1,1,0,1,0,0.05337078651685395,-0.0969101123595505,0.0395010395010395,-0.016778523489932886,0.35814606741573035,0.351123595505618,0.2907303370786517
28,970,706,1,1,1,1,1,0,1,1,1,1,1,1,1,0.267379679144385,0.27807486631016054,0.18796992481203006,0.2962962962962963,0.29411764705882354,0.42245989304812837,0.28342245989304815
29,473,180,1,1,1,1,1,0,0,1,1,1,1,1,1,0.24886877828054302,0.18371040723981905,0.1757188498402556,0.1391304347826087,0.3438914027149321,0.416289592760181,0.2398190045248869
