Unnamed: 0,Y,X,Reference,Predicted_EXG_L,Predicted_EXGR_L,Predicted_GLI_L,Predicted_VARI_L,Predicted_EXG_G,Predicted_EXGR_G,Predicted_GLI_G,Predicted_VARI_G,Predicted_EXG_Z,Predicted_EXGR_Z,Predicted_GLI_Z,Predicted_VARI_Z,EXG_Value,EXGR_Value,GLI_Value,VARI_Value,Red_Value,Green_Value,Blue_Value
0,1130,170,0,1,1,1,1,0,0,0,1,0,0,0,0,0.0,-0.16855345911949676,0.0,-0.06557377049180328,0.3584905660377358,0.3333333333333333,0.3081761006289308
1,773,533,0,1,1,1,1,0,0,0,1,1,0,1,0,0.09695290858725764,-0.09196675900277002,0.07099391480730223,-0.0582010582010582,0.3961218836565097,0.3656509695290859,0.23822714681440443
2,1283,926,0,1,1,1,0,0,0,0,0,0,0,0,0,-5.551115123125783e-17,-0.317948717948718,0.0,-0.22085889570552147,0.4652014652014652,0.3333333333333333,0.20146520146520147
3,44,1024,0,1,1,1,1,0,0,0,0,0,0,0,0,-0.04545454545454547,-0.26818181818181813,-0.034482758620689655,-0.16666666666666666,0.38636363636363635,0.3181818181818182,0.29545454545454547
4,62,204,0,1,1,1,1,0,0,0,1,1,0,1,0,0.009727626459144045,-0.13579766536964977,0.00727802037845706,-0.021505376344086023,0.3443579766536965,0.33657587548638135,0.31906614785992216
5,410,328,0,1,1,1,1,0,0,0,1,0,0,0,0,-0.0027027027027027306,-0.17351351351351346,-0.002028397565922921,-0.07042253521126761,0.35945945945945945,0.3324324324324324,0.3081081081081081
6,364,1061,0,1,1,1,0,0,0,0,0,0,0,0,0,-0.049019607843137275,-0.3496732026143792,-0.03722084367245657,-0.24050632911392406,0.4411764705882353,0.31699346405228757,0.24183006535947713
7,1239,37,0,1,1,1,0,0,0,0,0,0,0,0,0,-0.10731707317073175,-0.3629268292682927,-0.08270676691729323,-0.25316455696202533,0.3951219512195122,0.2975609756097561,0.3073170731707317
8,1096,212,0,1,1,1,1,0,0,0,1,1,0,1,0,0.01694915254237289,-0.13220338983050844,0.012658227848101266,-0.025806451612903226,0.3486682808716707,0.3389830508474576,0.31234866828087166
9,881,1085,1,1,1,1,1,0,0,0,1,1,1,1,1,0.13138686131386856,0.09294403892944042,0.09540636042402827,0.23076923076923078,0.29683698296836986,0.3771289537712895,0.3260340632603406
10,1196,204,0,1,1,1,1,0,0,0,0,1,0,1,0,0.04577464788732391,-0.1922535211267605,0.033942558746736295,-0.13157894736842105,0.41901408450704225,0.3485915492957746,0.2323943661971831
11,788,1181,0,1,1,1,1,0,0,0,0,0,0,0,0,-0.022471910112359494,-0.2589887640449437,-0.01694915254237288,-0.16666666666666666,0.40168539325842695,0.3258426966292135,0.27247191011235955
