Unnamed: 0,Y,X,Reference,Predicted_EXG_L,Predicted_EXGR_L,Predicted_GLI_L,Predicted_VARI_L,Predicted_EXG_G,Predicted_EXGR_G,Predicted_GLI_G,Predicted_VARI_G,Predicted_EXG_Z,Predicted_EXGR_Z,Predicted_GLI_Z,Predicted_VARI_Z,EXG_Value,EXGR_Value,GLI_Value,VARI_Value,Red_Value,Green_Value,Blue_Value
0,1162,109,0,1,1,1,1,0,0,0,1,0,0,0,0,0.0,-0.16950904392764848,0.0,-0.06711409395973154,0.35917312661498707,0.3333333333333333,0.30749354005167956
1,784,1162,0,1,1,1,1,0,0,0,1,0,0,0,0,-0.029940119760479056,-0.19001996007984034,-0.02262443438914027,-0.0650887573964497,0.34530938123752497,0.32335329341317365,0.3313373253493014
2,443,1047,0,1,1,1,1,0,0,0,0,0,0,0,0,-0.04092071611253195,-0.21176470588235297,-0.031007751937984496,-0.09022556390977443,0.35038363171355497,0.319693094629156,0.329923273657289
3,134,921,0,1,1,1,1,0,0,0,1,0,0,0,0,-0.01828153564899454,-0.16453382084095053,-0.013774104683195593,-0.03314917127071823,0.3382084095063985,0.3272394881170018,0.33455210237659966
4,441,317,1,1,1,1,1,0,0,0,1,1,0,1,1,0.009560229445506718,-0.10363288718929259,0.00715307582260372,0.048484848484848485,0.32122370936902483,0.3365200764818356,0.3422562141491396
5,1163,440,0,1,1,1,1,0,0,0,1,0,0,0,0,-0.016042780748663055,-0.17468805704099816,-0.012080536912751677,-0.05583756345177665,0.34759358288770054,0.32798573975044565,0.3244206773618538
6,912,192,0,1,1,1,1,0,0,0,1,1,0,1,0,0.018944519621109657,-0.12449255751014882,0.014141414141414142,-0.014652014652014652,0.34506089309878213,0.33964817320703655,0.3152909336941813
7,1001,561,0,1,1,1,1,0,0,0,1,0,0,0,0,-0.0076923076923077205,-0.15435897435897433,-0.005780346820809248,-0.029850746268656716,0.34102564102564104,0.33076923076923076,0.3282051282051282
8,1188,536,1,1,1,1,1,0,1,1,1,1,1,1,1,0.2780269058295963,0.23946188340807165,0.1949685534591195,0.1826086956521739,0.33183856502242154,0.4260089686098655,0.242152466367713
9,467,943,0,1,1,1,1,0,0,0,0,0,0,0,0,-0.05384615384615388,-0.276923076923077,-0.04093567251461988,-0.17307692307692307,0.38461538461538464,0.3153846153846154,0.3
10,244,1012,0,1,1,1,1,0,0,0,1,0,0,0,0,-0.0026917900403768402,-0.1356662180349933,-0.00202020202020202,0.0,0.33243606998654107,0.33243606998654107,0.3351278600269179
11,361,1179,0,1,1,1,1,0,0,0,0,0,0,0,0,0.0,-0.19794871794871782,0.0,-0.10843373493975904,0.37948717948717947,0.3333333333333333,0.28717948717948716
12,146,603,1,1,1,1,1,0,0,0,1,1,0,1,1,0.011389521640091105,-0.1170842824601368,0.008517887563884156,0.013422818791946308,0.3325740318906606,0.33712984054669703,0.33029612756264237
13,864,1032,0,1,1,1,1,0,0,0,1,1,0,1,0,0.00833333333333336,-0.13000000000000006,0.006237006237006237,-0.007936507936507936,0.3388888888888889,0.33611111111111114,0.325
14,925,1261,1,1,1,1,1,0,0,0,1,1,0,1,1,0.02317880794701993,-0.10397350993377474,0.01728395061728395,0.018867924528301886,0.3344370860927152,0.34105960264900664,0.32450331125827814
15,976,65,0,1,1,1,1,0,0,0,1,0,0,0,0,-0.021428571428571408,-0.18523809523809515,-0.01615798922800718,-0.06756756756756757,0.35,0.3261904761904762,0.3238095238095238
16,888,1086,0,1,1,1,1,0,0,0,0,0,0,0,0,-0.03305785123966948,-0.2244628099173555,-0.025,-0.11790393013100436,0.3669421487603306,0.32231404958677684,0.31074380165289256
17,588,1261,0,1,1,1,1,0,0,0,0,0,0,0,0,-0.05161290322580647,-0.2503225806451614,-0.0392156862745098,-0.14035087719298245,0.36774193548387096,0.3161290322580645,0.3161290322580645
18,949,171,0,1,1,1,1,0,0,0,1,1,0,1,0,0.0591836734693878,-0.11918367346938763,0.043740573152337855,-0.05701754385964912,0.3795918367346939,0.35306122448979593,0.2673469387755102
19,1105,979,0,1,1,1,1,0,0,0,1,0,0,0,0,-0.0204081632653062,-0.1541950113378685,-0.015384615384615385,-0.0072992700729927005,0.3287981859410431,0.32653061224489793,0.34467120181405897
20,1287,1044,0,1,1,1,1,0,0,0,1,1,0,1,1,0.05652173913043479,-0.0721739130434782,0.04180064308681672,0.022222222222222223,0.34347826086956523,0.3521739130434783,0.30434782608695654
21,371,751,0,1,1,1,1,0,0,0,1,0,0,0,0,-0.026415094339622636,-0.1932075471698112,-0.019943019943019943,-0.07526881720430108,0.35094339622641507,0.32452830188679244,0.32452830188679244
22,528,530,0,1,1,1,1,0,0,0,1,0,0,0,0,-0.025547445255474477,-0.18613138686131386,-0.01928374655647383,-0.06382978723404255,0.3467153284671533,0.3248175182481752,0.3284671532846715
23,717,97,1,1,1,1,1,0,0,0,0,1,0,1,0,0.0028818443804034533,-0.21959654178674354,0.0021598272138228943,-0.13664596273291926,0.3976945244956772,0.33429394812680113,0.2680115273775216
24,586,1034,0,1,1,1,1,0,0,0,1,1,0,1,1,0.014084507042253502,-0.07183098591549292,0.010526315789473684,0.125,0.3028169014084507,0.3380281690140845,0.3591549295774648
25,281,81,0,1,1,1,1,0,0,0,1,0,0,0,0,-0.013384321223709361,-0.17973231357552572,-0.010071942446043165,-0.06806282722513089,0.35372848948374763,0.32887189292543023,0.3173996175908222
26,778,304,1,1,1,1,1,0,0,0,1,0,0,0,1,-0.004310344827586132,-0.13103448275862045,-0.003236245954692557,0.013513513513513514,0.3275862068965517,0.33189655172413796,0.34051724137931033
27,358,1135,0,1,1,1,1,0,0,0,1,0,0,0,0,-0.001848428835489857,-0.14787430683918668,-0.0013869625520110957,-0.026455026455026454,0.3419593345656192,0.33271719038817005,0.32532347504621073
28,962,216,1,1,1,1,1,0,0,0,1,1,1,1,1,0.0824742268041237,0.035567010309278224,0.06060606060606061,0.2288135593220339,0.2912371134020619,0.36082474226804123,0.3479381443298969
29,372,835,0,1,1,1,1,0,0,0,1,0,0,0,0,-0.048192771084337394,-0.2088353413654619,-0.036585365853658534,-0.0759493670886076,0.3413654618473896,0.3172690763052209,0.3413654618473896
