Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Y,X,Reference,Predicted_EXG_L,Predicted_EXGR_L,Predicted_GLI_L,Predicted_VARI_L,Predicted_EXG_G,Predicted_EXGR_G,Predicted_GLI_G,Predicted_VARI_G,Predicted_EXG_Z,Predicted_EXGR_Z,Predicted_GLI_Z,Predicted_VARI_Z,Predicted_ALL_MODE,Predicted_ZERO_MODE,EXG_Value,EXGR_Value,GLI_Value,VARI_Value,Red_Value,Green_Value,Blue_Value,Predicted_GLOBAL_ZERO_MODE
0,0,0,942,464,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-0.2222222222222222,-1.0,-0.17647058823529413,-0.48148148148148145,0.7407407407407407,0.25925925925925924,0.0,0
1,1,1,195,683,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5319148936170212,0.6553191489361703,0.352112676056338,0.4074074074074074,0.2765957446808511,0.5106382978723404,0.2127659574468085,1
2,2,2,1084,367,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,-0.003999999999999948,-0.19559999999999994,-0.003003003003003003,-0.10194174757281553,0.374,0.332,0.294,0
3,3,3,1107,1232,0,0,1,1,1,0,0,0,0,1,0,1,0,0,0,0.01941747572815533,-0.1754045307443366,0.014492753623188406,-0.0948905109489051,0.3818770226537217,0.33980582524271846,0.2783171521035599,0
4,4,4,47,1030,0,0,1,1,1,0,0,0,0,1,0,1,0,0,0,0.07142857142857145,-0.1651785714285714,0.05263157894736842,-0.11904761904761904,0.42410714285714285,0.35714285714285715,0.21875,0
5,5,5,216,801,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.6165803108808291,0.7419689119170985,0.4006734006734007,0.3643410852713178,0.29533678756476683,0.538860103626943,0.16580310880829016,1
6,6,6,345,279,0,0,1,1,1,0,0,0,1,1,0,1,0,0,0,0.013513513513513487,-0.17207207207207204,0.010101010101010102,-0.0851063829787234,0.3738738738738739,0.33783783783783783,0.2882882882882883,0
7,7,7,212,469,0,0,1,1,1,0,0,0,1,1,0,1,0,0,0,0.0026212319790301364,-0.1310615989515071,0.0019646365422396855,0.0,0.33420707732634336,0.33420707732634336,0.3315858453473132,0
8,8,8,601,987,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,-0.03690036900369009,-0.24280442804428048,-0.027932960893854747,-0.14018691588785046,0.3763837638376384,0.3210332103321033,0.3025830258302583,0
9,9,9,727,210,0,0,1,1,1,0,0,0,1,1,0,1,0,0,0,0.0253164556962025,-0.11139240506329118,0.018867924528301886,0.0,0.34177215189873417,0.34177215189873417,0.31645569620253167,0
10,10,10,540,54,0,0,1,1,1,0,0,0,0,1,0,1,0,0,0,0.020618556701030966,-0.1912371134020619,0.015384615384615385,-0.11538461538461539,0.3943298969072165,0.3402061855670103,0.2654639175257732,0
11,11,11,1045,1262,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-0.28440366972477066,-0.9706422018348624,-0.22962962962962963,-0.5287356321839081,0.6605504587155964,0.23853211009174313,0.10091743119266056,0
12,12,12,467,190,0,0,1,1,1,0,0,0,1,1,0,1,0,0,0,0.013736263736263798,-0.13296703296703294,0.01026694045174538,-0.022388059701492536,0.34615384615384615,0.33791208791208793,0.3159340659340659,0
13,13,13,1061,193,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,-0.0065252854812398176,-0.168678629690049,-0.004901960784313725,-0.057777777777777775,0.3523654159869494,0.33115823817292006,0.3164763458401305,0
14,14,14,818,465,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,-0.10309278350515466,-0.35257731958762895,-0.07936507936507936,-0.24324324324324326,0.3917525773195876,0.29896907216494845,0.30927835051546393,0
15,15,15,475,346,0,0,1,1,1,0,0,0,1,1,0,1,0,0,0,0.03812316715542524,-0.10850439882697954,0.02832244008714597,-0.014814814814814815,0.3519061583577713,0.3460410557184751,0.3020527859237537,0
16,16,16,147,121,0,0,1,1,1,0,0,0,1,1,0,1,1,1,1,0.08823529411764702,-0.04313725490196085,0.06474820143884892,0.022727272727272728,0.35294117647058826,0.3627450980392157,0.28431372549019607,0
17,17,17,1123,17,0,0,1,1,1,0,0,0,1,1,0,1,0,0,0,0.03532608695652173,-0.1027173913043477,0.026262626262626262,0.0,0.3451086956521739,0.3451086956521739,0.30978260869565216,0
18,18,18,610,284,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,-0.01077586206896558,-0.1849137931034483,-0.008103727714748784,-0.07954545454545454,0.3599137931034483,0.3297413793103448,0.3103448275862069,0
19,19,19,515,160,0,0,1,1,1,0,0,0,1,1,1,1,1,1,1,0.12149532710280375,0.011214953271028005,0.08843537414965986,0.06382978723404255,0.34579439252336447,0.37383177570093457,0.2803738317757009,1
20,20,20,111,994,0,0,1,1,1,0,0,0,1,1,0,1,0,0,0,0.06716417910447758,-0.09253731343283589,0.04954128440366973,-0.027777777777777776,0.3681592039800995,0.35572139303482586,0.27611940298507465,0
21,21,21,480,45,0,0,1,1,1,0,0,1,1,1,1,1,1,1,1,0.22932330827067673,0.07067669172932348,0.16266666666666665,0.005952380952380952,0.40601503759398494,0.40977443609022557,0.18421052631578946,1
22,22,22,51,689,1,0,1,1,1,0,0,0,1,1,1,1,1,1,1,0.21240601503759404,0.11917293233082704,0.15127175368139223,0.09420289855072464,0.35526315789473684,0.4041353383458647,0.24060150375939848,1
23,23,23,599,472,0,0,1,1,1,0,0,0,1,1,1,1,1,1,1,0.14893617021276595,0.025531914893617114,0.1076923076923077,0.043478260869565216,0.3617021276595745,0.3829787234042553,0.2553191489361702,1
24,24,24,597,810,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0.0039370078740157965,-0.2236220472440944,0.0029498525073746312,-0.14166666666666666,0.4015748031496063,0.3346456692913386,0.2637795275590551,0
25,25,25,465,970,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.7339449541284403,0.926605504587156,0.46511627906976744,0.42857142857142855,0.27522935779816515,0.5779816513761468,0.14678899082568808,1
26,26,26,718,1240,0,0,1,1,1,0,0,0,1,1,1,1,1,1,1,0.13157894736842107,0.011403508771929804,0.09554140127388536,0.04716981132075472,0.35526315789473684,0.37719298245614036,0.2675438596491228,1
