Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Y,X,Reference,Predicted_EXG_L,Predicted_EXGR_L,Predicted_GLI_L,Predicted_VARI_L,Predicted_EXG_G,Predicted_EXGR_G,Predicted_GLI_G,Predicted_VARI_G,Predicted_EXG_Z,Predicted_EXGR_Z,Predicted_GLI_Z,Predicted_VARI_Z,Predicted_ALL_MODE,Predicted_ZERO_MODE,EXG_Value,EXGR_Value,GLI_Value,VARI_Value,Red_Value,Green_Value,Blue_Value,Predicted_GLOBAL_ZERO_MODE
0,0,0,375,791,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.44852941176470584,0.4784313725490196,0.30247933884297523,0.26,0.3235294117647059,0.48284313725490197,0.19362745098039216,1
1,1,1,15,1100,0,0,0,0,1,0,0,0,1,1,0,1,1,0,1,0.14450867052023117,-0.002697495183044324,0.10460251046025104,0.007434944237918215,0.37764932562620424,0.3815028901734104,0.24084778420038536,0
2,2,2,1198,923,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.7249999999999999,0.8799999999999999,0.4603174603174603,0.36666666666666664,0.3,0.575,0.125,1
3,3,3,420,1100,1,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0.003262642740619881,-0.15334420880913546,0.0024449877750611247,-0.04405286343612335,0.35073409461663946,0.33442088091353994,0.31484502446982054,0
4,4,4,844,179,1,0,1,1,1,0,0,1,1,1,1,1,1,1,1,0.2564102564102564,0.19658119658119658,0.18072289156626506,0.14754098360655737,0.3418803418803419,0.4188034188034188,0.23931623931623933,1
5,5,5,273,851,1,0,0,0,1,0,0,0,1,1,1,1,1,1,1,0.1676136363636364,0.0795454545454547,0.12065439672801637,0.10493827160493827,0.3409090909090909,0.38920454545454547,0.26988636363636365,1
6,6,6,1041,1011,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0.03125,-0.14375000000000004,0.023255813953488372,-0.0625,0.3705357142857143,0.34375,0.2857142857142857,0
7,7,7,437,1022,1,0,0,0,1,0,0,0,1,1,1,1,1,1,1,0.19083969465648853,0.0997455470737913,0.1366120218579235,0.09844559585492228,0.3486005089058524,0.3969465648854962,0.2544529262086514,1
8,8,8,178,1225,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-0.014925373134328346,-0.25074626865671645,-0.011235955056179775,-0.16129032258064516,0.40298507462686567,0.3283582089552239,0.26865671641791045,0
9,9,9,283,589,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0.022535211267605604,-0.1492957746478874,0.01680672268907563,-0.061224489795918366,0.36619718309859156,0.3408450704225352,0.29295774647887324,0
10,10,10,1177,1086,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0.07455429497568883,-0.0891410048622367,0.05489260143198091,-0.031578947368421054,0.3727714748784441,0.3581847649918963,0.26904376012965964,0
11,11,11,171,1062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.03690036900369009,-0.3564575645756458,-0.027932960893854747,-0.24503311258278146,0.4575645756457565,0.3210332103321033,0.22140221402214022,0
12,12,12,1282,1091,0,0,0,0,1,0,0,0,1,1,0,1,1,0,1,0.10869565217391297,-0.016304347826086918,0.07936507936507936,0.036585365853658534,0.3532608695652174,0.3695652173913043,0.27717391304347827,0
13,13,13,140,543,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0.18421052631578946,-0.02894736842105264,0.1320754716981132,-0.06,0.4342105263157895,0.39473684210526316,0.17105263157894737,0
