Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Y,X,Reference,Predicted_EXG_L,Predicted_EXGR_L,Predicted_GLI_L,Predicted_VARI_L,Predicted_EXG_G,Predicted_EXGR_G,Predicted_GLI_G,Predicted_VARI_G,Predicted_EXG_Z,Predicted_EXGR_Z,Predicted_GLI_Z,Predicted_VARI_Z,Predicted_ALL_MODE,Predicted_ZERO_MODE,EXG_Value,EXGR_Value,GLI_Value,VARI_Value,Red_Value,Green_Value,Blue_Value,Predicted_GLOBAL_ZERO_MODE
0,0,0,1043,594,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0.03343023255813954,-0.11250000000000004,0.024864864864864864,-0.014925373134328358,0.3502906976744186,0.3444767441860465,0.30523255813953487,0
1,1,1,876,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,-0.22878787878787865,0.0,-0.14516129032258066,0.4015151515151515,0.3333333333333333,0.26515151515151514,0
2,2,2,441,1144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.0,-2.4,-1.0,-1.0,1.0,0.0,0.0,0
3,3,3,1086,814,0,0,0,0,1,0,0,0,1,1,1,1,1,1,1,0.10714285714285715,0.020634920634920673,0.0782608695652174,0.11224489795918367,0.3253968253968254,0.36904761904761907,0.3055555555555556,1
4,4,4,1134,205,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0.008968609865470933,-0.18834080717488783,0.006711409395973154,-0.10309278350515463,0.3811659192825112,0.336322869955157,0.2825112107623318,0
5,5,5,1095,776,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0.009398496240601517,-0.14624060150375945,0.007032348804500703,-0.04,0.35150375939849626,0.33646616541353386,0.31203007518796994,0
6,6,6,268,1269,0,0,0,0,1,0,0,0,1,1,0,1,1,0,1,0.06276150627615057,-0.06331938633193862,0.046343975283213185,0.028268551236749116,0.34309623430962344,0.3542538354253835,0.30264993026499304,0
7,7,7,493,799,0,0,0,0,1,0,0,0,1,1,1,1,1,1,1,0.15677966101694918,0.05889830508474575,0.11314984709480122,0.0871559633027523,0.3453389830508475,0.3855932203389831,0.2690677966101695,1
8,8,8,140,560,1,0,0,0,1,0,0,0,1,1,1,1,1,1,1,0.18651685393258427,0.10696629213483155,0.13365539452495975,0.11961722488038277,0.3393258426966292,0.3955056179775281,0.2651685393258427,1
9,9,9,689,516,1,0,1,1,1,0,0,1,1,1,1,1,1,1,1,0.24018475750577367,0.19445727482678987,0.16993464052287582,0.17703349282296652,0.3279445727482679,0.4133949191685912,0.2586605080831409,1
10,10,10,201,383,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,0.2437357630979498,0.21822323462414567,0.1723027375201288,0.21890547263681592,0.3143507972665148,0.4145785876993166,0.27107061503416857,1
11,11,11,903,1209,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0.04741379310344829,-0.10229885057471255,0.03514376996805112,-0.017482517482517484,0.3563218390804598,0.34913793103448276,0.29454022988505746,0
12,12,12,208,49,1,0,0,0,1,0,0,0,1,1,1,1,1,1,1,0.1595092024539877,0.022085889570552075,0.11504424778761062,0.023529411764705882,0.37423312883435583,0.38650306748466257,0.2392638036809816,1
13,13,13,89,87,0,0,0,0,1,0,0,0,1,1,0,1,1,0,1,0.06349206349206349,-0.0708994708994708,0.046875,0.012987012987012988,0.3492063492063492,0.3544973544973545,0.2962962962962963,0
14,14,14,13,1138,0,0,0,0,1,0,0,0,1,1,1,1,1,1,1,0.1646191646191646,0.05749385749385755,0.11858407079646018,0.07106598984771574,0.3538083538083538,0.3882063882063882,0.257985257985258,1
15,15,15,452,550,1,0,0,0,1,0,0,0,1,1,1,1,1,1,1,0.17636986301369867,0.12500000000000017,0.12669126691266913,0.18032786885245902,0.3167808219178082,0.3921232876712329,0.2910958904109589,1
16,16,16,647,276,1,0,0,0,1,0,0,0,1,1,1,1,1,1,1,0.20454545454545447,0.10227272727272729,0.14594594594594595,0.07971014492753623,0.35984848484848486,0.4015151515151515,0.23863636363636365,1
17,17,17,779,1242,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.6838709677419355,0.8387096774193548,0.4380165289256198,0.3853211009174312,0.2903225806451613,0.5612903225806452,0.14838709677419354,1
18,18,18,520,912,1,0,1,1,1,0,0,1,1,1,1,1,1,1,1,0.26666666666666666,0.16444444444444445,0.1875,0.08021390374331551,0.3746031746031746,0.4222222222222222,0.20317460317460317,1
19,19,19,677,1213,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0.00692041522491349,-0.15882352941176475,0.0051813471502590676,-0.05803571428571429,0.35813148788927335,0.3356401384083045,0.3062283737024221,0
20,20,20,1030,1285,0,0,1,1,1,0,0,1,1,1,1,1,1,1,1,0.2429667519181586,0.15601023017902818,0.1717902350813743,0.10328638497652583,0.35805626598465473,0.4143222506393862,0.22762148337595908,1
21,21,21,603,702,0,0,0,0,1,0,0,0,1,1,1,1,1,1,1,0.1502347417840375,0.06040688575899844,0.1085972850678733,0.10247349823321555,0.3380281690140845,0.38341158059467917,0.27856025039123633,1
22,22,22,516,454,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-0.006250000000000033,-0.17375000000000007,-0.004694835680751174,-0.06666666666666667,0.35625,0.33125,0.3125,0
23,23,23,721,585,1,0,1,1,1,0,0,1,1,1,1,1,1,1,1,0.2845070422535211,0.20394366197183106,0.1992110453648915,0.1111111111111111,0.36338028169014086,0.428169014084507,0.2084507042253521,1
24,24,24,1159,204,0,0,0,0,1,0,0,0,1,1,1,1,1,1,1,0.1651376146788991,0.07400611620795106,0.11894273127753303,0.09933774834437085,0.3425076452599388,0.38837920489296635,0.2691131498470948,1
25,25,25,187,1051,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.022026431718061734,-0.20484581497797366,-0.016611295681063124,-0.09883720930232558,0.3634361233480176,0.32599118942731276,0.31057268722466963,0
26,26,26,927,977,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.3499999999999999,-1.113333333333333,-0.2876712328767123,-0.58,0.7,0.21666666666666667,0.08333333333333333,0
27,27,27,845,165,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0.023952095808383256,-0.15029940119760465,0.017857142857142856,-0.06428571428571428,0.36826347305389223,0.3413173652694611,0.2904191616766467,0
28,28,28,255,442,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0.00692041522491349,-0.16366782006920422,0.0051813471502590676,-0.06578947368421052,0.3615916955017301,0.3356401384083045,0.3027681660899654,0
29,29,29,427,317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.1428571428571429,-0.8571428571428571,-0.1111111111111111,-0.42857142857142855,0.7142857142857143,0.2857142857142857,0.0,0
